,timestamp,machine,application,pid,message
5391,1972-02-14 06:40:01,ns508880,systemd,-1,StartedSession9802ofuserroot.
5392,1972-02-14 06:50:01,ns508880,systemd,-1,StartedSession9803ofuserroot.
5393,1972-02-14 07:00:01,ns508880,systemd,-1,StartedSession9804ofuserroot.
5394,1972-02-14 07:01:01,ns508880,systemd,-1,StartedSession9805ofuserroot.
5395,1972-02-14 07:10:01,ns508880,systemd,-1,StartedSession9806ofuserroot.
5396,1972-02-14 07:20:01,ns508880,systemd,-1,StartedSession9807ofuserroot.
5397,1972-02-14 07:30:01,ns508880,systemd,-1,StartedSession9808ofuserroot.
5398,1972-02-14 07:40:01,ns508880,systemd,-1,StartedSession9809ofuserroot.
5399,1972-02-14 07:50:01,ns508880,systemd,-1,StartedSession9810ofuserroot.
5400,1972-02-14 08:00:01,ns508880,systemd,-1,StartedSession9811ofuserroot.
5401,1972-02-14 08:01:01,ns508880,systemd,-1,StartedSession9812ofuserroot.
5402,1972-02-14 08:10:01,ns508880,systemd,-1,StartedSession9813ofuserroot.
5403,1972-02-14 08:20:01,ns508880,systemd,-1,StartedSession9814ofuserroot.
5404,1972-02-14 08:30:01,ns508880,systemd,-1,StartedSession9815ofuserroot.
5405,1972-02-14 08:40:01,ns508880,systemd,-1,StartedSession9816ofuserroot.
5406,1972-02-14 08:50:01,ns508880,systemd,-1,StartedSession9817ofuserroot.
5407,1972-02-14 09:00:01,ns508880,systemd,-1,StartedSession9818ofuserroot.
5408,1972-02-14 09:01:01,ns508880,systemd,-1,StartedSession9819ofuserroot.
5409,1972-02-14 09:10:01,ns508880,systemd,-1,StartedSession9820ofuserroot.
5410,1972-02-14 09:11:00,ns508880,systemd,-1,StartingCleanupofTemporaryDirectories...
5411,1972-02-14 09:11:00,ns508880,systemd,-1,StartedCleanupofTemporaryDirectories.
5412,1972-02-14 09:20:01,ns508880,systemd,-1,StartedSession9821ofuserroot.
5413,1972-02-14 09:30:01,ns508880,systemd,-1,StartedSession9822ofuserroot.
5414,1972-02-14 09:40:01,ns508880,systemd,-1,StartedSession9823ofuserroot.
